,t_statistic,p_value,systematic_error,random_error
Condylar width,-0.4247773229068416,0.6799936293569724,-0.4068694437889736,3.1768016109573916
Coronoidal width,1.452178965902966,0.1770947391507854,0.28398084380106586,0.6485825291864158
Zygomatic width,-0.3893869415636224,0.7051534582052567,-0.15992978857878368,1.3622108111451001
Anterior lower facial height,0.8476009275877329,0.41862982189839393,0.26206630366159517,0.9777318435817615
Posterior facial height,-0.3784223937552338,0.7138887220201497,-0.5921327092162898,4.948142787291786
Left Ramus height,-0.6797394492944399,0.5158523991959814,-0.6135666057470411,2.70794908130129
Right Ramus height,-0.41262773603657316,0.6907159673244028,-0.6640413202587815,4.827896398607032
Ramus length diff,-0.026911530063611896,0.979189501229697,-0.0504747145117403,5.626738545794066
Left Mandibular length,1.4614239316940305,0.1779159564982444,0.8907953335337382,1.927532539959628
Right Mandibular length,-0.25747421591706665,0.8026029633412735,-0.06745204075572672,0.8284405522116709
Mandibular length diff,-1.4923440574099125,0.16980754253328986,-0.9582473742894649,2.0305265730007487
Mandibular angle L,0.8339262153549515,0.4285182731379553,0.5114038578752829,1.839744986278946
Mandibular angle R,0.6088495776463134,0.559511759151221,0.8980640555089852,4.425053848180605
